iter	Passed	Remaining
1299	7995	10455
1300	8002	10450
1301	8008	10443
1302	8014	10437
1303	8020	10431
1304	8026	10425
1305	8032	10419
1306	8039	10413
1307	8045	10406
1308	8051	10400
1309	8056	10394
1310	8063	10388
1311	8069	10382
1312	8075	10375
1313	8081	10369
1314	8087	10362
1315	8093	10357
1316	8099	10350
1317	8105	10344
1318	8111	10338
1319	8117	10331
1320	8123	10325
1321	8129	10318
1322	8135	10311
1323	8141	10305
1324	8147	10299
1325	8153	10293
1326	8160	10287
1327	8166	10281
1328	8172	10275
1329	8178	10269
1330	8185	10263
1331	8191	10257
1332	8197	10251
1333	8203	10245
1334	8209	10239
1335	8216	10233
1336	8222	10227
1337	8229	10221
1338	8235	10215
1339	8241	10209
1340	8247	10203
1341	8254	10197
1342	8260	10191
1343	8266	10185
1344	8272	10179
1345	8279	10173
1346	8285	10167
1347	8291	10161
1348	8297	10155
1349	8304	10149
1350	8310	10143
1351	8316	10137
1352	8323	10131
1353	8329	10125
1354	8336	10120
1355	8343	10114
1356	8349	10109
1357	8355	10103
1358	8361	10096
1359	8367	10090
1360	8373	10084
1361	8379	10077
1362	8385	10071
1363	8391	10064
1364	8397	10058
1365	8403	10051
1366	8409	10045
1367	8415	10038
1368	8420	10032
1369	8426	10026
1370	8432	10019
1371	8438	10013
1372	8444	10006
1373	8450	10000
1374	8456	9993
1375	8462	9987
1376	8468	9981
1377	8474	9974
1378	8480	9968
1379	8486	9962
1380	8493	9956
1381	8499	9951
1382	8506	9945
1383	8512	9939
1384	8519	9933
1385	8526	9928
1386	8532	9922
1387	8539	9917
1388	8545	9911
1389	8552	9905
1390	8559	9900
1391	8565	9894
1392	8571	9888
1393	8577	9882
1394	8584	9876
1395	8590	9870
1396	8597	9864
1397	8603	9858
1398	8609	9852
1399	8616	9846
1400	8622	9841
1401	8629	9835
1402	8635	9829
1403	8641	9823
1404	8648	9817
1405	8654	9812
1406	8661	9806
1407	8667	9800
1408	8673	9794
1409	8679	9788
1410	8686	9782
1411	8692	9776
1412	8699	9770
1413	8705	9764
1414	8711	9758
1415	8718	9752
1416	8724	9746
1417	8730	9740
1418	8737	9734
1419	8743	9728
1420	8749	9722
1421	8756	9716
1422	8762	9710
1423	8768	9704
1424	8775	9698
1425	8781	9692
1426	8787	9687
1427	8794	9680
1428	8800	9674
1429	8806	9668
1430	8813	9663
1431	8819	9657
1432	8825	9651
1433	8832	9645
1434	8838	9639
1435	8845	9633
1436	8851	9627
1437	8857	9621
1438	8865	9617
1439	8871	9611
1440	8878	9605
1441	8884	9599
1442	8890	9593
1443	8897	9587
1444	8903	9580
1445	8909	9574
1446	8915	9568
1447	8921	9561
1448	8926	9555
1449	8932	9548
1450	8938	9542
1451	8944	9536
1452	8950	9529
1453	8956	9523
1454	8962	9516
1455	8968	9510
1456	8974	9503
1457	8979	9497
1458	8985	9490
1459	8991	9484
1460	8997	9477
1461	9003	9471
1462	9009	9464
1463	9014	9458
1464	9020	9451
1465	9026	9445
1466	9032	9439
1467	9038	9432
1468	9044	9425
1469	9049	9419
1470	9056	9413
1471	9061	9406
1472	9067	9400
1473	9073	9393
1474	9079	9387
1475	9085	9380
1476	9091	9374
1477	9096	9367
1478	9102	9361
1479	9108	9354
1480	9114	9348
1481	9120	9341
1482	9125	9335
1483	9131	9328
1484	9137	9322
1485	9143	9315
1486	9149	9309
1487	9155	9302
1488	9161	9296
1489	9167	9290
1490	9173	9284
1491	9179	9277
1492	9185	9271
1493	9191	9265
1494	9197	9258
1495	9203	9252
1496	9209	9246
1497	9216	9240
1498	9222	9234
1499	9228	9228
1500	9234	9222
1501	9240	9215
1502	9246	9209
1503	9252	9203
1504	9258	9196
1505	9264	9190
1506	9270	9184
1507	9276	9177
1508	9282	9171
1509	9287	9164
1510	9294	9158
1511	9300	9152
1512	9306	9146
1513	9312	9139
1514	9317	9133
1515	9323	9127
1516	9329	9120
1517	9335	9114
1518	9342	9108
1519	9348	9102
1520	9354	9096
1521	9360	9089
1522	9366	9083
1523	9372	9076
1524	9377	9070
1525	9384	9064
1526	9390	9058
1527	9397	9053
1528	9403	9047
1529	9409	9040
1530	9415	9034
1531	9421	9028
1532	9427	9021
1533	9433	9015
1534	9439	9009
1535	9445	9002
1536	9451	8996
